user,gesture,iteration,x,y,z
0,0,0,"[1.532289, 0.919373, 1.838747, 5.822699, 6.435614, 2.75812, 0.612916, 0.0, -0.153229, 0.306458, -0.459687, 0.919373, -0.153229, -0.306458]","[-0.919373, -0.919373, -0.153229, 3.371036, 1.532289, -7.967903, -6.588843, -2.145205, -1.685518, -0.306458, -0.153229, -1.532289, -1.072602, -1.225831]","[10.113108, 9.959879, 10.726024, 10.879252, 9.193734, 9.193734, 8.887277, 9.653421, 9.653421, 9.959879, 10.419566, 9.040505, 10.726024, 9.80665]"
0,0,1,"[0.766145, 1.225831, 1.532289, 5.209783, 4.750096, 3.371036, 1.685518, -0.153229, 0.0, -0.306458, 0.459687, 0.0, 0.0, -3.064578]","[-0.612916, -0.612916, 0.153229, 1.991976, 1.225831, -3.524265, -8.887277, -3.064578, -2.145205, -2.145205, -1.532289, -0.919373, -1.072602, 1.072602]","[9.80665, 10.113108, 10.266337, 10.266337, 10.266337, 10.879252, 8.580819, 9.346964, 9.653421, 10.113108, 9.959879, 10.572795, 10.266337, 9.500193]"
0,0,2,"[0.919373, 1.225831, 2.604892, 6.129157, 6.282385, 3.371036, 1.225831, -0.153229, -0.153229, -0.153229, 0.0, 1.685518, 0.153229, 0.153229]","[0.0, 0.0, 1.838747, 5.209783, -1.532289, -5.516241, -7.661446, -3.830723, -1.838747, -1.072602, -0.766145, -1.991976, -0.766145, -0.766145]","[9.959879, 10.113108, 10.572795, 10.419566, 9.040505, 9.500193, 9.653421, 8.887277, 9.500193, 9.959879, 10.113108, 5.209783, 9.80665, 9.959879]"
0,0,3,"[1.072602, 1.838747, 2.604892, 5.363012, 5.516241, 2.451663, 0.459687, -0.459687, -0.459687, -0.459687, -0.153229, -0.459687, -0.766145, -0.919373]","[-1.072602, -1.225831, 0.919373, 2.145205, -1.685518, -3.524265, -6.588843, -4.443638, -1.37906, -1.37906, -0.766145, -0.766145, -0.306458, -0.766145]","[9.959879, 9.959879, 9.653421, 10.419566, 11.032481, 9.193734, 7.201759, 9.193734, 10.419566, 10.113108, 9.959879, 10.419566, 9.653421, 9.959879]"
0,0,4,"[1.991976, 1.838747, 1.991976, 2.911349, 4.29041, 4.903325, 2.911349, 0.612916, 0.0, 0.459687, 0.459687, 0.0, 0.459687, -1.37906, 0.153229]","[0.0, 0.0, 0.459687, 1.838747, 0.459687, -0.459687, -7.814674, -3.830723, -2.75812, -1.37906, -1.225831, -0.459687, -0.612916, 1.991976, -1.072602]","[9.80665, 10.419566, 9.959879, 9.346964, 10.113108, 11.33894, 9.346964, 8.734048, 9.346964, 9.80665, 9.80665, 10.419566, 9.80665, 10.266337, 10.419566]"
0,0,5,"[1.072602, 0.766145, 1.072602, 4.596867, 5.822699, 5.66947, 1.838747, 0.459687, -0.153229, 0.0, 0.0, 0.153229, -0.153229, 0.153229, 0.306458]","[-0.459687, -0.919373, -0.153229, 3.371036, 0.919373, -4.29041, -8.887277, -5.056554, -2.75812, -1.838747, -1.37906, -1.072602, -0.919373, -1.225831, -1.225831]","[10.113108, 9.959879, 10.266337, 10.879252, 10.113108, 8.580819, 8.734048, 9.193734, 8.887277, 9.500193, 10.266337, 9.959879, 10.419566, 9.80665, 10.572795]"
0,0,6,"[1.838747, 1.532289, 4.443638, 5.822699, 5.66947, 4.750096, 0.459687, -1.072602, -0.306458, -0.306458, 0.153229, 0.153229, 1.072602, 0.153229, 0.153229, -0.153229, -0.766145, -0.612916, 0.306458, 1.225831, 0.612916, 0.0, -0.153229, -0.306458, 0.612916, -0.766145, 0.612916]","[-0.306458, 0.306458, 1.532289, 3.983952, 1.225831, -6.588843, -5.975927, -1.685518, -0.919373, -0.306458, -0.459687, -0.612916, 0.153229, -0.766145, -0.919373, -1.225831, -1.37906, -2.604892, -0.459687, 0.612916, -0.766145, -0.612916, -1.072602, -0.919373, -4.596867, -0.766145, -0.612916]","[10.419566, 9.959879, 10.266337, 10.113108, 10.419566, 9.500193, 8.274362, 9.500193, 10.266337, 10.113108, 10.266337, 9.959879, 10.419566, 10.113108, 9.959879, 9.959879, 9.80665, 9.80665, 9.80665, 10.572795, 9.959879, 9.80665, 9.80665, 10.266337, 8.734048, 10.113108, 10.113108]"
0,0,7,"[1.685518, 1.37906, 3.064578, 5.209783, 7.201759, 6.742072, -1.072602, -1.072602, -1.991976, -0.919373, -0.919373, -0.766145, 0.0, -5.363012]","[-1.37906, -1.225831, 0.919373, 3.064578, 0.0, -5.975927, -8.42759, -4.750096, -2.145205, -0.766145, -0.919373, -0.766145, -0.459687, 3.983952]","[9.653421, 9.80665, 10.419566, 11.18571, 10.879252, 8.580819, 8.121132, 9.193734, 9.500193, 10.572795, 10.266337, 10.266337, 10.726024, 10.266337]"
0,0,8,"[1.37906, 1.37906, 1.37906, 3.983952, 5.516241, 7.967903, 1.37906, -0.306458, -0.919373, -0.612916, -0.612916, -1.072602, -1.532289, -0.306458, -0.459687]","[-1.072602, -1.37906, -1.225831, 1.991976, 3.371036, -2.298434, -6.129157, -6.435614, -2.604892, -1.685518, -0.612916, -0.459687, -3.217807, -1.225831, -0.459687]","[9.346964, 9.653421, 9.500193, 9.80665, 12.105083, 10.113108, 7.354988, 9.653421, 10.113108, 9.80665, 9.653421, 9.959879, 9.959879, 9.959879, 9.653421]"
0,0,9,"[1.37906, 1.685518, 1.225831, 2.604892, 5.516241, 3.983952, 2.298434, 0.612916, 0.0, -0.766145, -0.306458, -0.459687, -0.612916, 0.0, -0.306458, -0.459687]","[-0.306458, -0.766145, -0.612916, 0.306458, 1.685518, -1.225831, -2.298434, -5.66947, -5.66947, -1.991976, -1.685518, -1.37906, -0.612916, -2.911349, -0.766145, -1.225831]","[10.419566, 9.959879, 9.653421, 10.419566, 11.18571, 10.572795, 8.887277, 7.508216, 9.193734, 9.653421, 9.959879, 9.346964, 10.419566, 9.653421, 10.266337, 9.653421]"
0,0,10,"[1.225831, 1.225831, 3.217807, 7.508216, 6.742072, 3.371036, 0.766145, -0.919373, -0.459687, -0.612916, -0.153229, -0.306458, 0.153229, 0.612916]","[-0.766145, -0.919373, 0.306458, 6.282385, -2.604892, -8.734048, -5.975927, -1.991976, -1.072602, -1.225831, -0.459687, 0.0, -0.306458, 0.306458]","[10.266337, 9.80665, 10.266337, 11.798626, 10.266337, 10.419566, 9.959879, 10.113108, 9.80665, 9.959879, 10.113108, 10.419566, 10.266337, 10.266337]"
0,0,11,"[0.766145, 0.612916, 3.371036, 5.66947, 7.201759, 4.903325, 0.0, 0.0, -0.766145, -0.919373, -0.459687, 0.0, -0.459687, -0.919373, 0.0]","[-0.919373, -0.459687, 0.919373, 1.685518, -1.225831, -6.895301, -8.42759, -3.064578, -1.225831, -0.919373, -0.612916, -0.459687, -0.306458, -1.685518, -0.919373]","[9.959879, 9.959879, 10.113108, 10.419566, 10.419566, 8.42759, 8.887277, 9.959879, 9.500193, 9.959879, 9.653421, 9.959879, 9.80665, 10.419566, 10.113108]"
0,0,12,"[0.919373, 1.685518, 4.29041, 6.435614, 5.363012, 2.451663, 0.612916, 0.0, -0.306458, 0.153229, -0.153229, 3.064578, 0.766145, 0.153229]","[-1.37906, -0.766145, 0.919373, 1.991976, -1.225831, -10.113108, -7.661446, -2.604892, -1.991976, -1.37906, -1.225831, -3.830723, -0.612916, -0.612916]","[10.113108, 10.113108, 9.653421, 10.419566, 11.032481, 7.661446, 8.274362, 9.346964, 9.653421, 9.959879, 9.346964, 6.129157, 10.726024, 10.419566]"
0,0,13,"[3.217807, 5.209783, 5.363012, 4.596867, -0.153229, -0.919373, -1.225831, -0.612916, -0.306458, -0.766145, -0.919373, -4.137181, -0.612916, -0.766145, -0.919373, -0.919373, -0.306458, -0.153229, 0.0, -0.612916, -0.459687, -3.217807, -1.685518, -2.604892]","[2.145205, 0.919373, -0.153229, -6.129157, -7.814674, -1.991976, -1.072602, -0.612916, -1.532289, -0.459687, -0.153229, -1.838747, -0.766145, -1.37906, -1.532289, -2.145205, -0.459687, 0.306458, -0.306458, -0.459687, -0.612916, 3.524265, -0.459687, -0.306458]","[9.653421, 10.572795, 11.18571, 8.887277, 7.508216, 9.500193, 9.959879, 10.266337, 9.80665, 9.653421, 9.80665, 8.580819, 9.959879, 9.500193, 9.80665, 9.500193, 10.113108, 10.266337, 9.959879, 9.653421, 10.266337, -6.435614, 10.266337, 9.959879]"
0,0,14,"[1.225831, 0.766145, 0.919373, 2.145205, 3.677494, 6.588843, 4.596867, 1.37906, -0.612916, -1.532289, -1.532289, -1.072602, -1.072602, -3.983952, -1.532289, -0.153229]","[-0.306458, -0.153229, -0.612916, 0.612916, 1.991976, 2.145205, -1.37906, -10.113108, -5.209783, -1.838747, -1.225831, -0.612916, 0.459687, -0.766145, -0.306458, 0.306458]","[9.959879, 9.80665, 9.80665, 10.572795, 11.18571, 10.572795, 9.80665, 10.419566, 9.653421, 9.500193, 9.959879, 10.113108, 10.113108, 8.734048, 10.113108, 10.266337]"
0,0,15,"[0.459687, 0.766145, 1.991976, 4.443638, 6.742072, 8.42759, -1.072602, 0.0, -1.225831, -1.225831, -0.766145, -0.459687, -4.137181, -1.072602, -1.072602]","[-0.306458, -0.612916, 0.459687, 3.064578, 2.604892, -4.29041, -10.726024, -6.435614, -2.604892, -1.838747, -0.766145, -0.919373, -2.298434, -0.919373, -1.225831]","[9.959879, 9.959879, 9.653421, 11.18571, 11.492168, 9.500193, 6.742072, 8.121132, 9.346964, 9.653421, 9.959879, 9.80665, 8.274362, 10.419566, 9.193734]"
0,0,16,"[0.612916, 0.766145, 1.225831, 4.29041, 3.983952, 5.822699, 3.064578, 1.37906, -0.153229, -0.153229, -0.153229, 0.153229, 1.532289, -0.919373, 0.0]","[-0.919373, -0.612916, 0.153229, 2.145205, 1.532289, 0.306458, -7.354988, -6.895301, -1.991976, -1.532289, -0.612916, -0.306458, 0.459687, -0.612916, -0.612916]","[9.959879, 9.959879, 9.80665, 9.653421, 11.032481, 11.492168, 9.040505, 10.419566, 10.266337, 9.653421, 9.653421, 9.959879, 10.572795, 10.572795, 9.959879]"
0,0,17,"[0.612916, 0.153229, 2.145205, 5.516241, 5.363012, 5.66947, 3.371036, 0.0, -0.919373, -0.766145, -0.459687, -0.459687, -0.919373, -0.766145, -0.766145]","[-1.072602, -0.919373, -0.306458, 3.524265, 1.072602, -1.685518, -10.266337, -6.282385, -2.298434, -1.838747, -0.612916, 0.0, -0.919373, -0.459687, -0.612916]","[9.80665, 10.266337, 10.266337, 10.572795, 11.33894, 9.500193, 8.734048, 9.040505, 10.266337, 9.346964, 10.266337, 10.113108, 9.193734, 9.653421, 9.653421]"
0,0,18,"[0.459687, 1.072602, 4.29041, 7.661446, 4.29041, 3.064578, 2.145205, 0.0, 0.0, -0.459687, -0.306458, -0.612916, 0.306458, -2.451663]","[-1.072602, -1.072602, 1.838747, 0.459687, -2.911349, -5.056554, -10.113108, -3.830723, -2.298434, -1.685518, -0.459687, -0.306458, 0.153229, -0.919373]","[10.266337, 9.80665, 10.113108, 11.492168, 10.726024, 7.508216, 9.80665, 9.500193, 9.346964, 9.653421, 10.266337, 10.419566, 10.266337, 9.346964]"
0,0,19,"[1.072602, 1.072602, 1.685518, 5.975927, 6.435614, 5.209783, 3.830723, -0.153229, -0.612916, -0.766145, -0.766145, -0.612916, -0.153229, -0.459687, -0.306458]","[-0.766145, -0.919373, 0.153229, 2.145205, 1.532289, -2.145205, -10.266337, -4.750096, -2.145205, -1.225831, -0.766145, -0.153229, 0.459687, -0.766145, 0.0]","[9.959879, 9.959879, 10.113108, 9.80665, 10.113108, 11.18571, 8.887277, 8.887277, 9.653421, 9.80665, 10.113108, 10.113108, 9.193734, 10.113108, 10.113108]"
0,1,0,"[0.919373, 0.766145, 0.766145, 0.612916, -0.153229, -1.072602, 3.983952, 10.879252, 6.742072, 2.451663, 0.612916, 0.459687, 0.766145, 0.306458, -0.766145, 0.153229]","[-1.072602, -1.072602, -0.766145, -1.072602, -1.685518, -7.508216, -9.653421, -2.604892, 4.750096, 2.911349, -0.306458, -0.919373, -0.306458, 0.612916, -0.153229, -0.612916]","[10.113108, 9.959879, 9.959879, 9.653421, 10.113108, 10.266337, 8.734048, 8.734048, 8.42759, 9.80665, 9.80665, 9.80665, 10.419566, 10.726024, 10.879252, 9.653421]"
0,1,1,"[0.153229, 0.0, -0.153229, -1.37906, -0.153229, 6.435614, 10.726024, 5.822699, 2.298434, 1.532289, 1.37906, 0.766145, 1.685518, 0.459687, 0.919373]","[-1.072602, -0.459687, -0.919373, -3.524265, -8.121132, -8.274362, 2.298434, 4.750096, 1.072602, -1.685518, -1.37906, -0.306458, 0.459687, 0.0, -1.225831]","[9.959879, 9.80665, 9.80665, 9.80665, 9.193734, 8.42759, 9.653421, 9.346964, 10.113108, 9.346964, 9.80665, 9.653421, 10.879252, 9.80665, 10.113108]"
0,1,2,"[-0.612916, -0.153229, -0.153229, -1.991976, 2.145205, 6.435614, 7.967903, 4.596867, 1.225831, 0.766145, 0.612916, 0.612916, 0.306458]","[-0.612916, -0.612916, -0.919373, -5.66947, -9.193734, -7.661446, 1.838747, 2.75812, -0.153229, -1.685518, -1.685518, -1.532289, -1.225831]","[9.653421, 9.80665, 9.959879, 9.653421, 9.040505, 8.580819, 10.113108, 10.572795, 10.113108, 9.959879, 10.113108, 9.959879, 10.113108]"
