user,gesture,iteration,x,y,z
0,0,0,"[0.04666219165049414, -0.243680544711347, 0.19183355983141467, 2.0790603987689362, 2.369402661423554, 0.6273471906669532, -0.38885143918504445, -0.6791941755468857, -0.751779859637346, -0.5340228073659651, -0.8969512278182664, -0.243680544711347, -0.751779859637346, -0.8243655437278061]","[0.178172201497652, 0.178172201497652, 0.45532855743298545, 1.7302487352982925, 1.0650729745966143, -2.3716681542329625, -1.8727864241454317, -0.26527854680674195, -0.0989845161925943, 0.39989721389493615, 0.45532855743298545, -0.04355317265454502, 0.12274085795960273, 0.06730951442155353]","[0.383203295953597, 0.13934665307403654, 1.3586298674718416, 1.6024849188991108, -1.0799365613237712, -1.0799365613237712, -1.5676482556306037, -0.34836663268508716, -0.34836663268508716, 0.13934665307403654, 0.8709165817127179, -1.3237932042033318, 1.3586298674718416, -0.10450998980552671]"
0,0,1,"[-0.1625978888971424, 0.057695963256817875, 0.20455885084399347, 1.9669125434364936, 1.7466182120557305, 1.0857356971402436, 0.27799029463758124, -0.603186551658669, -0.5297551078650812, -0.6766179954522568, -0.3094607764843179, -0.5297551078650812, -0.5297551078650812, -1.9983830252832302]","[0.31856097945483564, 0.31856097945483564, 0.615884844869735, 1.3294617337876942, 1.0321378683727949, -0.8112689329661837, -2.892534826637081, -0.632874613717244, -0.2760863632971638, -0.2760863632971638, -0.03822727096524441, 0.19963182136667507, 0.14016704828369517, 0.972673095289815]","[-0.2980398862257879, 0.2583007506251527, 0.5364710690506214, 0.5364710690506214, 0.5364710690506214, 1.6491505273629927, -2.523400618240037, -1.1325490261126905, -0.5762102046512566, 0.2583007506251527, -0.01986956780031599, 1.0928117059015587, 0.5364710690506214, -0.8543787076872219]"
0,0,2,"[-0.3501622852314197, -0.20597781484201158, 0.44285230191032504, 2.1009727704147445, 2.173064535122562, 0.8033130073969585, -0.20597781484201158, -0.8548074611074612, -0.8548074611074612, -0.8548074611074612, -0.7827152259127571, 0.010298890742100704, -0.710622990718053, -0.710622990718053]","[0.4523858755376697, 0.4523858755376697, 1.0753434357606537, 2.2174322397036903, -0.06674536818238314, -1.4164868051312822, -2.1432706818571976, -0.8454424031597639, -0.1705716846853143, 0.08899410657201366, 0.1928200842803417, -0.22248484293677992, 0.1928200842803417, 0.1928200842803417]","[0.37998858219952714, 0.5008941477700293, 0.8636108444815357, 0.7427052789110336, -0.3454448112234884, 0.017272674539474894, 0.1381774510585215, -0.46634958774253504, 0.017272674539474894, 0.37998858219952714, 0.5008941477700293, -3.368081583331681, 0.2590830166290236, 0.37998858219952714]"
0,0,3,"[-0.020874323991517937, 0.34442336586205385, 0.7097210557156257, 2.024791785589127, 2.0978513235598415, 0.6366615177449113, -0.3131119990746968, -0.751469226898983, -0.751469226898983, -0.751469226898983, -0.6053501509575543, -0.751469226898983, -0.8975883028404118, -0.9706473640114474]","[0.1989885316712474, 0.12567699255259235, 1.152037583325197, 1.7385298962744378, -0.09425762480337312, -0.973995615782951, -2.4402254412674864, -1.4138643720505983, 0.052365453433937184, 0.052365453433937184, 0.34561113146427414, 0.34561113146427414, 0.5655457488202396, 0.34561113146427414]","[0.19048486424213584, 0.19048486424213584, -0.16508703704492714, 0.7238427161727272, 1.4349853584837775, -0.6984448889755206, -3.0096599268152726, -0.6984448889755206, 0.7238427161727272, 0.3682708148856663, 0.19048486424213584, 0.7238427161727272, -0.16508703704492714, 0.19048486424213584]"
0,0,4,"[0.32757973919992056, 0.2365853232113562, 0.32757973919992056, 0.8735456412853897, 1.6924953851824684, 2.056472455290809, 0.8735456412853897, -0.4913694108512415, -0.8553470748054988, -0.5823638268398058, -0.5823638268398058, -0.8553470748054988, -0.5823638268398058, -1.6742962248566606, -0.7643526588169344]","[0.42445174628701354, 0.42445174628701354, 0.621362482716542, 1.212094263646839, 0.621362482716542, 0.2275410098574851, -2.9230286312235285, -1.2164702005758135, -0.7570118155735805, -0.16628003464328348, -0.1006431225001073, 0.2275410098574851, 0.161904097714309, 1.2777311757900152, -0.03500621035693124]","[-0.20501646917070054, 0.8200636467304301, 0.051253559804584355, -0.9738248836322688, 0.3075235887798663, 2.3576838205821247, -0.9738248836322688, -1.9989049995333994, -0.9738248836322688, -0.20501646917070054, -0.20501646917070054, 0.8200636467304301, -0.20501646917070054, 0.5637936177551482, 0.8200636467304301]"
0,0,5,"[-0.1798339287132461, -0.3296949654607176, -0.1798339287132461, 1.5435726394931495, 2.143018742529551, 2.0680879796500005, 0.19481988568450462, -0.4795564912198179, -0.7792795427380186, -0.7043487798584683, -0.7043487798584683, -0.6294180169789182, -0.7792795427380186, -0.6294180169789182, -0.5544872540993682]","[0.468963985189474, 0.298775669090684, 0.5824231094068811, 1.8872022974524216, 0.9795296739404854, -0.9492743270734735, -2.6511600796526182, -1.2329217673896709, -0.381978705986438, -0.04160170356153732, 0.1285869827645733, 0.24204610698198037, 0.298775669090684, 0.1853165448732769, 0.1853165448732769]","[0.4420403068163514, 0.21339861444684952, 0.6706819991858534, 1.5852472765070749, 0.4420403068163514, -1.844375124721887, -1.615733432352385, -0.9298098474006654, -1.387091739982883, -0.4725249705048727, 0.6706819991858534, 0.21339861444684952, 0.8993236915553553, -0.01524307792265508, 1.1279653839248573]"
0,0,6,"[0.47684564272608015, 0.3159101595339861, 1.8447961995649858, 2.5690058739294095, 2.488538132333362, 2.0057316827570797, -0.24736350649139602, -1.0520403973049193, -0.6497022144716313, -0.6497022144716313, -0.4082989896834901, -0.4082989896834901, 0.07450693474584491, -0.4082989896834901, -0.4082989896834901, -0.5692344728755843, -0.8911054392597726, -0.8106376976637255, -0.3278312480874431, 0.1549746763418919, -0.16689576489534894, -0.48876673127953724, -0.5692344728755843, -0.6497022144716313, -0.16689576489534894, -0.8911054392597726, -0.16689576489534894]","[0.3119367474356775, 0.6074560250868366, 1.198494098236172, 2.3805707266878255, 1.0507344594105925, -2.717133919876772, -2.4216146422256135, -0.35298114512644774, 0.016417951937501226, 0.3119367474356775, 0.2380569280228877, 0.1641771086100979, 0.5335762056740468, 0.09029728919730816, 0.016417951937501226, -0.1313416868880783, -0.2052215063008681, -0.7962600616031864, 0.2380569280228877, 0.7552156639124161, 0.09029728919730816, 0.1641771086100979, -0.05746186747528859, 0.016417951937501226, -1.7566967496634878, 0.09029728919730816, 0.1641771086100979]","[0.992947751890201, 0.046726589782515766, 0.6775406978543059, 0.36213364381841084, 0.992947751890201, -0.8994925139220393, -3.4227468878060696, -0.8994925139220393, 0.6775406978543059, 0.36213364381841084, 0.6775406978543059, 0.046726589782515766, 0.992947751890201, 0.36213364381841084, 0.046726589782515766, 0.046726589782515766, -0.268680464253383, -0.268680464253383, -0.268680464253383, 1.308354805926096, 0.046726589782515766, -0.268680464253383, -0.268680464253383, 0.6775406978543059, -2.4765277841015183, 0.36213364381841084, 0.36213364381841084]"
0,0,7,"[0.2177832057155975, 0.12810770782286704, 0.6213226536136742, 1.249050846243577, 1.8319412899271146, 1.697428043088019, -0.5892956900805559, -0.5892956900805559, -0.8583221837587474, -0.5444579411341908, -0.5444579411341908, -0.4996204848070357, -0.2754317400752097, -1.8447520753403617]","[-0.01037311228379473, 0.03803506096102236, 0.7157488545475794, 1.3934629640545775, 0.425300130999118, -1.4626173618669842, -2.237147817863616, -1.0753522918288885, -0.25241397850788005, 0.18325926477503263, 0.1348514074506565, 0.18325926477503263, 0.2800756112646668, 1.68391200352348]","[-0.362568081045159, -0.1812840827758639, 0.5438519103013185, 1.4502707185558348, 1.0877027220172426, -1.6315548858382654, -2.1754068806461526, -0.9064200758530463, -0.5438508962224928, 0.7251359085706136, 0.3625679120320235, 0.3625679120320235, 0.9064199068399108, 0.3625679120320235]"
0,0,8,"[0.0895503986759379, 0.0895503986759379, 0.0895503986759379, 1.0823925210193686, 1.6664171419262976, 2.6008563829192983, 0.0895503986759379, -0.5528767224362058, -0.7864863421118483, -0.6696817228466347, -0.6696817228466347, -0.8448888423170627, -1.0200963429327061, -0.5528767224362058, -0.6112792226414202]","[0.20040765914463302, 0.07515290623903045, 0.13778028269183176, 1.4529543707656243, 2.0166003501233187, -0.3006113524777773, -1.8662949463627752, -1.9915492905508605, -0.42586610538337993, -0.05010184666657219, 0.38828937978551964, 0.450916756238321, -0.676375202477068, 0.13778028269183176, 0.450916756238321]","[-0.48095050373421366, -0.1374148566826729, -0.3091821197127672, 0.03435352733877355, 2.610877045677772, 0.37789029538166846, -2.7139383750216703, -0.1374148566826729, 0.37789029538166846, 0.03435352733877355, -0.1374148566826729, 0.20612191136022198, 0.20612191136022198, 0.20612191136022198, -0.1374148566826729]"
0,0,9,"[0.20092370172234963, 0.37469573576344123, 0.11403768470180384, 0.8960118378867158, 2.5468450272095517, 1.677985424037861, 0.7222398038456241, -0.23350581634661255, -0.5810498844287956, -1.0154799695315244, -0.7548219184698871, -0.8417079354904329, -0.9285939525109786, -0.5810498844287956, -0.7548219184698871, -0.8417079354904329]","[0.6803038679037035, 0.43292048421076856, 0.5153816121084135, 1.0101483794942836, 1.7522979924169437, 0.18553763867397835, -0.39169025660953655, -2.205833994045437, -2.205833994045437, -0.22676800081424664, -0.06184574501895671, 0.10307651077633333, 0.5153816121084135, -0.7215342300439719, 0.43292048421076856, 0.18553763867397835]","[0.7618642842096225, 0.19925669981857183, -0.17581502310879746, 0.7618642842096225, 1.699542367635298, 0.9494001456733061, -1.113493106534473, -2.8013158597076284, -0.7384226074998503, -0.17581502310879746, 0.19925669981857183, -0.5508855221434202, 0.7618642842096225, -0.17581502310879746, 0.574328422745939, -0.17581502310879746]"
0,0,10,"[-0.1441196487311109, -0.1441196487311109, 0.6273439660145318, 2.2889575777634876, 1.9922410411909153, 0.6866873507861656, -0.32214941576041517, -0.97492626096279, -0.7968964939334858, -0.8562398787051195, -0.6782097243902182, -0.737553109161852, -0.5595229548469505, -0.381492800532049]","[0.14246527035455947, 0.09497708303139774, 0.4748847510459815, 2.3269349037957388, -0.4273963866265513, -2.3269350366179404, -1.4721423961870395, -0.23744239766002434, 0.04748858578976599, 8.854813431165465e-08, 0.2374422648378229, 0.3799077565627181, 0.2849307620794546, 0.4748847510459815]","[1.5297609028585571e-07, -0.9844955262251706, 1.5297609028585571e-07, 3.281650275315028, 1.5297609028585571e-07, 0.3281653793765093, -0.6563302998247478, -0.3281650734243287, -0.9844955262251706, -0.6563302998247478, -0.3281650734243287, 0.3281653793765093, 1.5297609028585571e-07, 1.5297609028585571e-07]"
